RefDes     X          Y          Rot.       Exact     (FREE)    Side
C230       5625.0026  2950.0009  000        EXACT     (FREE)    L1_TOP_SIDE                   
C231       4040.0026  4120.0002  270        EXACT     (FREE)    L1_TOP_SIDE                   
C232       4325.0000  4070.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C233       2235.0026  3015.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C234       359.2026   2525.7002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C235       350.3026   2983.5002  270        EXACT     (FREE)    L1_TOP_SIDE                   
C236       445.1026   2983.8002  270        EXACT     (FREE)    L1_TOP_SIDE                   
C237       2498.0026  2966.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C238       5135.0026  3200.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C239       5135.0026  3350.0009  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C240       4135.0000  4155.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C243       3530.0026  1859.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C244       3530.0026  2040.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C245       3531.0026  1942.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C247       4760.0000  3975.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C271       3425.0026  2739.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C274       2135.0000  3815.0000  090        EXACT     (FREE)    L1_TOP_SIDE                   
C275       1591.0026  671.0002   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C276       1768.0026  731.0002   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C277       727.3000   971.1000   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C278       1724.1026  364.8002   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C314       5345.0026  2345.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C315       4445.0026  3480.0002  270        EXACT     (FREE)    L1_TOP_SIDE                   
C316       4200.0000  3860.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C317       4650.0026  4075.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C318       4655.0026  4365.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
