RefDes     X          Y          Rot.       Exact     (FREE)    Side
C312       2525.0000  4550.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C313       3650.0000  5475.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C314       3975.0000  5475.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C315       3325.0000  5475.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C316       325.0000   4700.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C317       135.0000   5335.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C318       3760.0000  1705.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C319       3725.0000  1290.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C320       3745.0000  1530.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C321       3750.0000  1210.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C322       3950.0000  1295.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C323       3955.0000  1015.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
