*PADS-ECO-V9.0.1-MILS*
*REMARK*  old file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3-156406.asc
*REMARK*  new file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3.asc
*REMARK*  created by ECOGEN (Version 6.4v) on 7/25/2012 3:27:57 PM

PART DIFFERENCES
----------------
OLD DESIGN                                        NEW DESIGN
Ref-des	Part-type:Decal                           Ref-des	Part-type:Decal
C41   CAP_100NF_50V_0603:0603                     C41   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C42   CAP_100NF_50V_0603:0603                     C42   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C47   CAP_100NF_50V_0603:0603                     C47   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C5   CAP_100NF_50V_0603:0603                      C5   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C50   CAP_100NF_50V_0603:0603                     C50   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C51   CAP_100NF_50V_0603:0603                     C51   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C55   CAP_100NF_50V_0603:0603                     C55   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C57   CAP_100NF_50V_0603:0603                     C57   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C58   CAP_100NF_50V_0603:0603                     C58   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C59   CAP_100NF_50V_0603:0603                     C59   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C6   CAP_100NF_50V_0603:0603                      C6   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C60   CAP_100NF_50V_0603:0603                     C60   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C65   CAP_100NF_50V_0603:0603                     C65   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C66   CAP_100NF_50V_0603:0603                     C66   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
