Item	Qty	Reference	 Part  Name 	Manufacturer	Description	 MFG  P/N 	 CCC  P/N 	VALUE
37	1	C145	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
38	1	C146	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
39	1	C147	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
40	1	C148	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
41	1	C149	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
42	1	C150	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
43	1	C152	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
44	1	C154	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
45	1	C155	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
46	1	C156	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
47	1	C157	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
48	1	C158	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
49	1	C159	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
50	1	C160	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
51	1	C161	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
52	1	C162	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
53	1	C163	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
54	1	C164	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
55	1	C173	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
56	1	C176	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
57	1	C182	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
58	1	C183	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
59	1	C184	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
60	1	C186	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
61	1	C187	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
62	1	C188	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
63	1	C189	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
64	1	C190	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
65	1	C192	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
66	1	C203	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
