*PADS-ECO-V9.4-MILS*
*REMARK*  old file: E:\CCC_NGP\PDLC\design\Schematics\MPC5534_daughter_card\Rev3.0\CCCNGP_MPC5534_BOARD_REV2.0.asc
*REMARK*  new file: E:\CCC_NGP\PDLC\design\Schematics\MPC5534_daughter_card\Rev3.0\CCCNGP_MPC5534_BOARD_REV3.0.asc
*REMARK*  created by ECOGEN (Version 6.4v) on 7/26/2012 3:46:36 PM

PART DIFFERENCES
----------------
OLD DESIGN                                        NEW DESIGN
Ref-des	Part-type:Decal                           Ref-des	Part-type:Decal
C110   CAP_220PF_10V_0402                         C110   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C111   CAP_220PF_10V_0402                         C111   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C112   CAP_220PF_10V_0402                         C112   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C113   CAP_220PF_10V_0402                         C113   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C114   CAP_220PF_10V_0402                         C114   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C115   CAP_220PF_10V_0402                         C115   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C117   CAP_220PF_10V_0402                         C117   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C52   CAP_220PF_10V_0402                          C52   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C57   CAP_220PF_10V_0402                          C57   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C58   CAP_220PF_10V_0402                          C58   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C59   CAP_220PF_10V_0402                          C59   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C60   CAP_220PF_10V_0402                          C60   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C72   CAP_220PF_10V_0402                          C72   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C73   CAP_220PF_10V_0402                          C73   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C74   CAP_220PF_10V_0402                          C74   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C75   CAP_220PF_10V_0402                          C75   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C76   CAP_220PF_10V_0402                          C76   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C77   CAP_220PF_10V_0402                          C77   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C78   CAP_220PF_10V_0402                          C78   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C79   CAP_220PF_10V_0402                          C79   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C80   CAP_220PF_10V_0402                          C80   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C81   CAP_220PF_10V_0402                          C81   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C83   CAP_220PF_10V_0402                          C83   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C86   CAP_220PF_10V_0402                          C86   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C91   CAP_220PF_10V_0402                          C91   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C92   CAP_220PF_10V_0402                          C92   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C93   CAP_220PF_10V_0402                          C93   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C94   CAP_220PF_10V_0402                          C94   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C210   CAP_6800PF_50V_0603                        C210   CAP-6800PF-50V-0603-5%-C0603C682J5GACTU
J5   CON-80-SAMTEC-QSE                            J5   CON-SMT-2X40-QSE-040-01-L-D-A
J6   CON-80-SAMTEC-QSE                            J6   CON-SMT-2X40-QSE-040-01-L-D-A
U9   CPLD_34                                      U9   IC-CPLD-44-TQFP-EPM3064ATI44-10N
U11   CY7C1051DV33-10BAXI                         U11   IC-RAM-48LFBGA-CY7C1051DV33-10BAXI
